disant	disolh	lar	com				
0.060	0.070	0.140	0.520				
0.060	0.070	0.140	0.650				
0.060	0.080	0.180	0.830				
0.060	0.080	0.170	0.720				
0.060	0.070	0.190	0.680				
0.070	0.100	0.170	0.740				
0.070	0.080	0.120	0.590				
0.070	0.100	0.120	0.450				
0.070	0.080	0.110	0.550				
0.070	0.100	0.150	0.550				
0.070	0.090	0.140	0.580				
0.060	0.080	0.140	0.600				
0.060	0.080	0.130	0.570				
0.050	0.070	0.130	0.550				
0.050	0.080	0.120	0.540				
0.060	0.090	0.130	0.550				
0.060	0.080	0.140	0.550				
0.060	0.100	0.170	0.740				
0.060	0.090	0.160	0.730				
0.060	0.080	0.150	0.730				
0.070	0.100	0.170	0.760				
0.070	0.090	0.180	0.680				
0.060	0.100	0.170	0.690				
0.070	0.100	0.240	1.120				
0.070	0.090	0.240	1.120				
0.140	0.210	0.310	0.870				
0.140	0.210	0.300	0.950				
0.140	0.210	0.310	0.870				
0.140	0.210	0.310	1.040				
0.130	0.200	0.300	0.930				
0.120	0.180	0.260	0.910				
0.140	0.210	0.310	0.990				
0.140	0.200	0.240	0.900				
0.130	0.200	0.250	0.850				
0.140	0.200	0.260	0.920				
0.140	0.210	0.300	0.910				
0.130	0.200	0.300	0.850				
0.140	0.210	0.310	0.930				
0.130	0.190	0.300	0.880				
0.140	0.200	0.260	0.790				
0.130	0.200	0.310	0.860				
0.130	0.200	0.300	0.870				
0.140	0.210	0.300	0.920				
0.140	0.200	0.300	0.930				
0.140	0.210	0.290	0.850				
0.140	0.200	0.290	0.970				
0.140	0.210	0.300	0.920				
0.150	0.200	0.300	0.820				
0.130	0.190	0.300	0.870				
0.140	0.200	0.300	0.970				
0.130	0.210	0.290	0.900				
0.140	0.200	0.280	0.840				
0.140	0.210	0.320	1.000				
0.130	0.210	0.320	0.920				
0.140	0.200	0.300	0.950				
0.130	0.200	0.290	0.990				
0.130	0.200	0.300	0.880				
0.140	0.210	0.290	0.950				
0.140	0.210	0.320	1.040				
0.130	0.200	0.250	0.880				
0.140	0.200	0.310	0.960				
0.140	0.240	0.350	1.150				
0.130	0.200	0.350	1.040				
0.130	0.190	0.310	1.030				
0.130	0.200	0.310	0.880				
0.130	0.200	0.320	0.840				
0.120	0.200	0.320	0.870				
0.130	0.200	0.280	0.910				
0.130	0.200	0.290	0.970				
0.130	0.190	0.290	0.960				
0.140	0.200	0.300	0.880				
0.140	0.210	0.300	0.910				
0.150	0.220	0.300	0.910				
0.140	0.210	0.330	0.880				
0.140	0.200	0.310	0.820				
0.140	0.210	0.290	0.850				
0.140	0.190	0.250	0.920				
0.150	0.220	0.330	0.900				
0.140	0.200	0.310	0.800				
0.150	0.220	0.330	0.900				
0.150	0.210	0.340	0.850				
0.140	0.200	0.350	0.910				
0.150	0.200	0.310	0.760				
0.140	0.210	0.330	0.880				
0.130	0.210	0.350	1.050				
0.140	0.210	0.330	0.800				
0.140	0.210	0.310	0.990				
0.130	0.190	0.300	1.010				
0.140	0.200	0.310	1.070				
0.140	0.210	0.310	0.930				
0.140	0.200	0.300	0.780				
0.130	0.210	0.290	0.890				
0.140	0.200	0.290	0.900				
0.150	0.210	0.340	1.000				
0.130	0.200	0.310	1.020				
0.140	0.210	0.350	1.090				
0.140	0.210	0.350	1.100				
